101,1,2024-08-01,1001
102,1,2024-08-03,1002
103,2,2024-08-04,1001
104,3,2024-08-05,1003
105,5,2024-08-06,1004
106,3,2024-08-30,1006
107,1,2024-09-06,1008
108,5,2024-09-23,1008
109,8,2024-09-06,1009
110,8,2024-09-06,1010
111,2,2026-05-02,1005
112,3,2026-05-03,1008
113,4,2026-05-04,1010
114,5,2026-05-05,1003
115,6,2026-05-06,1002
116,7,2026-05-07,1007
117,8,2026-05-08,1004
118,9,2026-05-09,1009
119,10,2026-05-10,1006
120,11,2026-05-11,1001
121,12,2026-05-12,1005
122,1,2026-05-13,1008
123,2,2026-05-14,1010
124,3,2026-05-15,1003
125,4,2026-05-16,1002
126,5,2026-05-17,1007
127,1,2026-05-18,1004
128,6,2026-05-19,1009
129,2,2026-05-20,1006
